month,calendar_year,demand_notice_deposits_B,fixed_term_deposits_B,total_deposits_B,all_12_months_flag,cpi_all_items,boc_bank_rate,boc_target_rate
1996-01-31,1996,0.0,94442.784,94442.784,True,89.89,4.597741935483871,4.42
1996-02-29,1996,0.0,96952.305,96952.305,True,90.06,4.271379310344828,4.193448275862069
1996-03-31,1996,0.0,95433.179,95433.179,True,90.37,4.114516129032258,3.9238709677419354
1996-04-30,1996,0.0,89325.381,89325.381,True,90.66,4.143,3.8553333333333333
1996-05-31,1996,0.0,93360.359,93360.359,True,90.91,4.065806451612903,3.882903225806452
1996-06-30,1996,0.0,94354.714,94354.714,True,90.83,3.7933333333333334,3.63
1996-07-31,1996,0.0,91802.142,91802.142,True,90.92999999999999,3.993225806451613,3.7019354838709675
1996-08-31,1996,0.0,94580.684,94580.684,True,90.97,3.586129032258065,3.407741935483871
1996-09-30,1996,0.0,95592.854,95592.854,True,91.08,3.3890000000000002,3.13
1996-10-31,1996,0.0,90684.954,90684.954,True,91.27000000000001,3.2029032258064514,2.951935483870968
1996-11-30,1996,0.0,96115.281,96115.281,True,91.72999999999999,2.7306666666666666,2.5050000000000003
1996-12-31,1996,0.0,100699.188,100699.188,True,91.71000000000001,2.7070967741935483,2.4287096774193544
1997-01-31,1997,0.0,95661.353,95661.353,True,91.86,2.7674193548387094,2.5325806451612904
1997-02-28,1997,0.0,108390.222,108390.222,True,92.03,2.7157142857142853,2.54
1997-03-31,1997,0.0,110117.802,110117.802,True,92.25,2.646774193548387,2.4287096774193544
1997-04-30,1997,0.0,98381.109,98381.109,True,92.25,2.751333333333333,2.570666666666667
1997-05-31,1997,0.0,105493.237,105493.237,True,92.34,2.7070967741935483,2.480645161290323
1997-06-30,1997,0.0,111511.125,111511.125,True,92.53999999999999,2.714,2.5420000000000003
1997-07-31,1997,0.0,101010.854,101010.854,True,92.49,2.9529032258064514,2.71
1997-08-31,1997,0.0,105629.544,105629.544,True,92.64,2.8161290322580643,2.6500000000000004
1997-09-30,1997,0.0,104982.185,104982.185,True,92.65,2.9346666666666663,2.692
1997-10-31,1997,0.0,100824.602,100824.602,True,92.7,3.1383870967741934,2.88741935483871
1997-11-30,1997,0.0,109753.337,109753.337,True,92.55,2.993333333333333,2.7596666666666665
1997-12-31,1997,0.0,126101.117,126101.117,True,92.42999999999999,3.5496774193548384,3.182258064516129
1998-01-31,1998,0.0,118655.729,118655.729,True,92.66666666666667,3.6103225806451613,3.343548387096774
1998-02-28,1998,0.0,117961.083,117961.083,True,92.8,3.9657142857142853,3.79
1998-03-31,1998,0.0,122580.065,122580.065,True,92.89999999999999,3.9490322580645163,3.774516129032258
1998-04-30,1998,0.0,115923.166,115923.166,True,92.83333333333333,4.034666666666666,3.7419999999999995
1998-05-31,1998,0.0,117379.153,117379.153,True,93.14166666666667,3.832258064516129,3.557741935483871
1998-06-30,1998,0.0,123837.38,123837.38,True,93.24166666666667,4.034666666666666,3.854
1998-07-31,1998,0.0,120309.632,120309.632,True,93.25,4.065806451612903,3.882903225806452
1998-08-31,1998,0.0,123484.52,123484.52,True,93.28333333333335,3.929032258064516,3.7629032258064514
1998-09-30,1998,0.0,123817.483,123817.483,True,93.14166666666667,4.751333333333333,4.425333333333333
1998-10-31,1998,0.0,119809.679,119809.679,True,93.425,4.39258064516129,4.0854838709677415
1998-11-30,1998,0.0,124389.331,124389.331,True,93.41666666666667,4.189,3.8883333333333336
1998-12-31,1998,0.0,128274.769,128274.769,True,93.13333333333333,4.251290322580645,3.8354838709677415
1999-01-31,1999,0.0,122945.641,122945.641,True,93.31666666666666,4.001612903225807,3.719032258064516
1999-02-28,1999,0.0,121417.1,121417.1,True,93.45833333333333,4.144285714285714,3.968571428571429
1999-03-31,1999,0.0,121613.897,121613.897,True,93.89166666666667,4.243225806451613,4.0603225806451615
1999-04-30,1999,0.0,119155.925,119155.925,True,94.35833333333333,4.034666666666666,3.7419999999999995
1999-05-31,1999,0.0,122669.24,122669.24,True,94.61666666666667,3.670967741935484,3.404516129032258
1999-06-30,1999,0.0,124303.412,124303.412,True,94.73333333333333,3.8513333333333333,3.670666666666667
1999-07-31,1999,0.0,119554.392,119554.392,True,94.94166666666666,3.7716129032258063,3.496774193548387
1999-08-31,1999,0.0,117907.872,117907.872,True,95.18333333333334,3.7716129032258063,3.597096774193548
1999-09-30,1999,0.0,122574.362,122574.362,True,95.46666666666665,3.8513333333333333,3.5669999999999997
1999-10-31,1999,0.0,117544.972,117544.972,True,95.49166666666667,3.6629032258064513,3.3964516129032254
1999-11-30,1999,0.0,121825.882,121825.882,True,95.35833333333333,3.9346666666666663,3.650333333333333
1999-12-31,1999,0.0,121366.497,121366.497,True,95.41666666666667,4.065806451612903,3.6661290322580644
2000-01-31,2000,0.0,122913.452,122913.452,True,95.25833333333333,3.832258064516129,3.6661290322580644
2000-02-29,2000,0.0,124709.387,124709.387,True,95.77499999999999,4.165172413793103,3.986896551724138
2000-03-31,2000,0.0,131350.156,131350.156,True,96.425,4.315806451612903,4.1329032258064515
2000-04-30,2000,0.0,132108.525,132108.525,True,96.16666666666667,4.126666666666667,3.963333333333333
2000-05-31,2000,0.0,129648.236,129648.236,True,96.60833333333333,4.614193548387097,4.4312903225806455
2000-06-30,2000,0.0,128428.699,128428.699,True,97.16666666666667,4.768,4.5873333333333335
2000-07-31,2000,0.0,131927.358,131927.358,True,97.44166666666666,4.509677419354839,4.343548387096774
2000-08-31,2000,0.0,129184.992,129184.992,True,97.35833333333333,4.807741935483871,4.6248387096774195
2000-09-30,2000,0.0,135418.107,135418.107,True,97.68333333333334,4.614,4.441999999999999
2000-10-31,2000,0.0,133792.225,133792.225,True,97.8,4.658709677419354,4.484193548387096
2000-11-30,2000,0.0,136195.256,136195.256,True,98.11666666666667,4.768,4.5873333333333335
2000-12-31,2000,0.0,137991.577,137991.577,True,98.15833333333335,4.509677419354839,4.343548387096774
2001-01-31,2001,0.0,141127.488,141127.488,True,97.81666666666666,4.751290322580645,4.5683870967741935
2001-02-28,2001,0.0,141589.968,141589.968,True,98.31666666666666,4.501428571428571,4.325714285714286
2001-03-31,2001,0.0,141218.867,141218.867,True,98.63333333333333,4.174838709677419,4.000322580645161
2001-04-30,2001,0.0,137380.99,137380.99,True,99.24166666666667,4.0056666666666665,3.8336666666666663
2001-05-31,2001,0.0,140224.589,140224.589,True,99.97500000000001,4.041612903225806,3.858709677419355
2001-06-30,2001,0.0,146091.07,146091.07,True,100.05,3.739,3.5669999999999997
2001-07-31,2001,0.0,137661.382,137661.382,True,99.89166666666667,3.682903225806452,3.5083870967741935
2001-08-31,2001,0.0,136761.146,136761.146,True,99.875,3.66258064516129,3.479677419354839
2001-09-30,2001,0.0,145898.377,145898.377,True,100.10833333333333,3.1266666666666665,2.963333333333333
2001-10-31,2001,0.0,141301.989,141301.989,True,99.64166666666667,2.969032258064516,2.7861290322580645
2001-11-30,2001,0.0,138612.779,138612.779,True,98.89166666666667,2.501333333333333,2.320666666666667
2001-12-31,2001,0.0,145558.458,145558.458,True,98.97500000000001,2.138709677419355,1.9725806451612902
2002-01-31,2002,0.0,146747.071,146747.071,True,99.175,2.1061290322580644,1.9232258064516128
2002-02-28,2002,0.0,148762.687,148762.687,True,99.81666666666666,2.0014285714285713,1.8257142857142856
2002-03-31,2002,0.0,148748.32,148748.32,True,100.47500000000001,1.9693548387096773,1.803225806451613
2002-04-30,2002,0.0,148539.714,148539.714,True,101.05833333333334,2.1096666666666666,1.9289999999999998
2002-05-31,2002,0.0,143402.61,143402.61,True,101.27499999999999,2.2109677419354834,2.028064516129032
2002-06-30,2002,0.0,150399.839,150399.839,True,101.55,2.2849999999999997,2.1216666666666666
2002-07-31,2002,0.0,155563.681,155563.681,True,102.14166666666667,2.493225806451613,2.3103225806451615
2002-08-31,2002,0.0,152831.532,152831.532,True,102.49166666666667,2.529677419354839,2.355161290322581
2002-09-30,2002,0.0,155037.9,155037.9,True,102.48333333333333,2.5140000000000002,2.342
2002-10-31,2002,0.0,140737.704,140737.704,True,102.72500000000001,2.5819354838709674,2.3990322580645165
2002-11-30,2002,0.0,148741.69,148741.69,True,103.03333333333335,2.5140000000000002,2.342
2002-12-31,2002,0.0,147899.247,147899.247,True,102.75833333333333,2.529677419354839,2.355161290322581
2003-01-31,2003,0.0,143189.131,143189.131,True,103.38333333333333,2.5819354838709674,2.3990322580645165
2003-02-28,2003,0.0,139913.857,139913.857,True,104.16666666666667,2.537142857142857,2.3614285714285717
2003-03-31,2003,0.0,141731.568,141731.568,True,104.50833333333333,2.638709677419355,2.4725806451612904
2003-04-30,2003,0.0,138634.474,138634.474,True,103.88333333333333,2.8513333333333333,2.670666666666667
2003-05-31,2003,0.0,141325.373,141325.373,True,103.96666666666665,2.8845161290322583,2.71
2003-06-30,2003,0.0,138094.059,138094.059,True,103.94166666666666,2.864,2.692
2003-07-31,2003,0.0,141846.444,141846.444,True,104.05833333333334,2.848064516129032,2.665161290322581
2003-08-31,2003,0.0,134994.183,134994.183,True,104.325,2.646774193548387,2.480645161290323
2003-09-30,2003,0.0,135595.396,135595.396,True,104.53333333333335,2.5846666666666662,2.4040000000000004
2003-10-31,2003,0.0,131164.374,131164.374,True,104.25,2.5819354838709674,2.3990322580645165
2003-11-30,2003,0.0,132453.964,132453.964,True,104.55,2.46,2.296666666666667
2003-12-31,2003,0.0,131359.113,131359.113,True,104.60000000000001,2.5819354838709674,2.3990322580645165
2004-01-31,2004,0.0,135448.074,135448.074,True,104.65833333333335,2.4570967741935483,2.2825806451612904
2004-02-29,2004,0.0,138950.432,138950.432,True,104.89166666666667,2.324827586206897,2.1555172413793104
2004-03-31,2004,0.0,133319.729,133319.729,True,105.25,2.219032258064516,2.0361290322580645
2004-04-30,2004,0.0,135814.915,135814.915,True,105.425,2.0846666666666667,1.904
2004-05-31,2004,0.0,134855.876,134855.876,True,106.26666666666667,1.9693548387096773,1.803225806451613
2004-06-30,2004,0.0,130387.555,130387.555,True,106.325,2.018,1.8373333333333333
2004-07-31,2004,0.0,131891.173,131891.173,True,106.25833333333333,1.9974193548387098,1.8229032258064515
2004-08-31,2004,0.0,132707.834,132707.834,True,106.04166666666667,1.9974193548387098,1.8229032258064515
2004-09-30,2004,0.0,129954.708,129954.708,True,106.20833333333333,2.1596666666666664,1.9789999999999999
2004-10-31,2004,0.0,128427.46,128427.46,True,106.39999999999999,2.2112903225806453,2.0451612903225804
2004-11-30,2004,0.0,130121.441,130121.441,True,106.82499999999999,2.3846666666666665,2.204
2004-12-31,2004,0.0,130613.142,130613.142,True,106.64166666666667,2.3964516129032254,2.2135483870967745
2005-01-31,2005,0.0,130939.375,130939.375,True,106.46666666666665,2.3080645161290323,2.141935483870968
2005-02-28,2005,0.0,132326.158,132326.158,True,106.89999999999999,2.358571428571428,2.182857142857143
2005-03-31,2005,0.0,131424.629,131424.629,True,107.49166666666667,2.3964516129032254,2.2135483870967745
2005-04-30,2005,0.0,132391.218,132391.218,True,107.68333333333334,2.339,2.1670000000000003
2005-05-31,2005,0.0,131710.282,131710.282,True,107.8,2.3522580645161293,2.177741935483871
2005-06-30,2005,0.0,134415.314,134415.314,True,108.0,2.3846666666666665,2.204
2005-07-31,2005,0.0,131430.772,131430.772,True,108.14999999999999,2.3080645161290323,2.141935483870968
2005-08-31,2005,0.0,130428.821,130428.821,True,108.55833333333334,2.3964516129032254,2.2135483870967745
2005-09-30,2005,0.0,129323.367,129323.367,True,109.35833333333333,2.5346666666666664,2.354
2005-10-31,2005,0.0,126737.745,126737.745,True,108.875,2.5580645161290323,2.391935483870968
2005-11-30,2005,0.0,131204.144,131204.144,True,108.80833333333334,2.751333333333333,2.570666666666667
2005-12-31,2005,0.0,129911.17,129911.17,True,108.69999999999999,2.8603225806451613,2.6858064516129034
2006-01-31,2006,0.0,128499.195,128499.195,True,109.13333333333333,2.932903225806452,2.758387096774194
2006-02-28,2006,0.0,130524.03,130524.03,True,109.01666666666667,3.0728571428571425,2.8971428571428572
2006-03-31,2006,0.0,131262.773,131262.773,True,109.61666666666667,3.2916129032258064,3.108709677419355
2006-04-30,2006,0.0,127008.174,127008.174,True,110.11666666666667,3.1599999999999997,2.996666666666667
2006-05-31,2006,0.0,128803.088,128803.088,True,110.60000000000001,3.557741935483871,3.3748387096774195
2006-06-30,2006,0.0,136070.459,136070.459,True,110.36666666666667,3.6679999999999997,3.4873333333333334
2006-07-31,2006,0.0,133667.845,133667.845,True,110.39999999999999,3.4935483870967743,3.3274193548387094
2006-08-31,2006,0.0,135518.675,135518.675,True,110.56666666666666,3.694838709677419,3.511935483870968
2006-09-30,2006,0.0,135857.849,135857.849,True,110.14999999999999,3.564,3.392
2006-10-31,2006,0.0,135088.406,135088.406,True,109.95,3.594193548387097,3.4196774193548385
2006-11-30,2006,0.0,140690.861,140690.861,True,110.24166666666667,3.6679999999999997,3.4873333333333334
2006-12-31,2006,0.0,150362.203,150362.203,True,110.30833333333334,3.4935483870967743,3.3274193548387094
2007-01-31,2007,0.0,147897.755,147897.755,True,110.33333333333333,3.694838709677419,3.511935483870968
2007-02-28,2007,0.0,151726.081,151726.081,True,111.10833333333333,3.608571428571428,3.432857142857143
2007-03-31,2007,0.0,146936.051,146936.051,True,111.96666666666665,3.594193548387097,3.4196774193548385
2007-04-30,2007,0.0,142508.679,142508.679,True,112.33333333333333,3.564,3.392
2007-05-31,2007,0.0,146543.226,146543.226,True,112.825,3.694838709677419,3.511935483870968
2007-06-30,2007,0.0,149678.3,149678.3,True,112.63333333333333,3.564,3.392
2007-07-31,2007,0.0,151868.975,151868.975,True,112.70833333333333,3.723225806451613,3.5487096774193545
2007-08-31,2007,0.0,156546.954,156546.954,True,112.44166666666666,3.880322580645161,3.69741935483871
2007-09-30,2007,0.0,157144.848,157144.848,True,112.7,3.6266666666666665,3.463333333333333
2007-10-31,2007,0.0,154381.06,154381.06,True,112.375,3.880322580645161,3.69741935483871
2007-11-30,2007,0.0,164124.081,164124.081,True,112.61666666666667,3.8513333333333333,3.670666666666667
2007-12-31,2007,0.0,159214.144,159214.144,True,112.60833333333333,3.5016129032258063,3.3354838709677415
2008-01-31,2008,0.0,162385.48,162385.48,True,112.35000000000001,3.630322580645161,3.44741935483871
2008-02-29,2008,0.0,159804.383,159804.383,True,112.78333333333332,3.458275862068965,3.2800000000000002
2008-03-31,2008,0.0,161355.677,161355.677,True,113.18333333333334,3.0016129032258063,2.835483870967742
2008-04-30,2008,0.0,156488.434,156488.434,True,113.93333333333334,3.001333333333333,2.820666666666667
2008-05-31,2008,0.0,153792.608,153792.608,True,114.90833333333335,2.7070967741935483,2.5325806451612904
2008-06-30,2008,0.0,147897.116,147897.116,True,115.55833333333334,2.689,2.5170000000000003
2008-07-31,2008,0.0,145912.709,145912.709,True,115.90833333333335,2.7674193548387094,2.584516129032258
2008-08-31,2008,0.0,148717.821,148717.821,True,115.75833333333333,2.646774193548387,2.480645161290323
2008-09-30,2008,0.0,147225.066,147225.066,True,115.89999999999999,2.751333333333333,2.570666666666667
