timestamp,q10,q50,q90,mean,segment
2026-02-28,789179.75,807648.5,827066.9,807648.5,validation
2026-03-31,788117.5,809310.4,828669.9,809310.4,validation
2026-04-30,788659.3,810989.7,830650.5,810989.7,validation
2026-05-31,789634.2,811749.3,834789.0,811749.3,unseen
2026-06-30,790039.0,816913.6,841064.75,816913.6,unseen
2026-07-31,790721.4,818327.0,848035.5,818327.0,unseen
